Time (BJD_TBD - 2450000), F_h/L_star (ppm)
9.880045230359972265e+03,3.662723659792206821e+00
9.880045248919697769e+03,3.662764947749818756e+00
9.880045267479425092e+03,3.662806235873473426e+00
9.880045286039150596e+03,3.662847524155077750e+00
9.880045304598877919e+03,3.662888812602722144e+00
9.880045323158603424e+03,3.662930101208313083e+00
9.880045341718330747e+03,3.662971389979940984e+00
9.880045360278056251e+03,3.663012678909512321e+00
9.880045378837783574e+03,3.663053968005117067e+00
9.880045397397509078e+03,3.663095257258663029e+00
9.880045415957234582e+03,3.663136546674190974e+00
9.880045434516961905e+03,3.663177836255750552e+00
9.880045453076687409e+03,3.663219125995244241e+00
9.880045471636414732e+03,3.663260415900763345e+00
9.880045490196140236e+03,3.663301705964215227e+00
9.880045508755867559e+03,3.663342996193688528e+00
9.880045527315593063e+03,3.663384286581091498e+00
9.880045545875320386e+03,3.663425577134514999e+00
9.880045564435045890e+03,3.663466867845861952e+00
9.880045582994773213e+03,3.663508158723225883e+00
9.880045601554498717e+03,3.663549449758512822e+00
9.880045620114226040e+03,3.663590740959812742e+00
9.880045638673951544e+03,3.663632032319031673e+00
9.880045657233677048e+03,3.663673323840212603e+00
9.880045675793404371e+03,3.663714615527405183e+00
9.880045694353129875e+03,3.663755907372510112e+00
9.880045712912857198e+03,3.663797199383621361e+00
9.880045731472582702e+03,3.663838491552643184e+00
9.880045750032310025e+03,3.663879783887666441e+00
9.880045768592035529e+03,3.663921076380598052e+00
9.880045787151762852e+03,3.663962369039530653e+00
9.880045805711488356e+03,3.664003661856364058e+00
9.880045824271215679e+03,3.664044954839195789e+00
9.880045842830941183e+03,3.664086247979927435e+00
9.880045861390666687e+03,3.664127541282605094e+00
9.880045879950394010e+03,3.664168834751276638e+00
9.880045898510119514e+03,3.664210128377843212e+00
9.880045917069846837e+03,3.664251422170397454e+00
9.880045935629572341e+03,3.664292716120844950e+00
9.880045954189299664e+03,3.664334010237277450e+00
9.880045972749025168e+03,3.664375304511599651e+00
9.880045991308752491e+03,3.664416598951903747e+00
9.880046009868477995e+03,3.664457893550093992e+00
9.880046028428205318e+03,3.664499188314264355e+00
9.880046046987930822e+03,3.664540483236318202e+00
9.880046065547658145e+03,3.664581778324346395e+00
9.880046084107383649e+03,3.664623073570255851e+00
9.880046102667109153e+03,3.664664368978088227e+00
9.880046121226836476e+03,3.664705664551894948e+00
9.880046139786561980e+03,3.664746960283575827e+00
9.880046158346289303e+03,3.664788256181223947e+00
9.880046176906014807e+03,3.664829552236744448e+00
9.880046195465742130e+03,3.664870848458229080e+00
9.880046214025467634e+03,3.664912144837582986e+00
9.880046232585194957e+03,3.664953441382897914e+00
9.880046251144920461e+03,3.664994738086079007e+00
9.880046269704647784e+03,3.665036034955218458e+00
9.880046288264373288e+03,3.665077331982220077e+00
9.880046306824100611e+03,3.665118629175176501e+00
9.880046325383826115e+03,3.665159926525992429e+00
9.880046343943551619e+03,3.665201224038711736e+00
9.880046362503278942e+03,3.665242521717384516e+00
9.880046381063004446e+03,3.665283819553909694e+00
9.880046399622731769e+03,3.665325117556382128e+00
9.880046418182457273e+03,3.665366415716706516e+00
9.880046436742184596e+03,3.665407714042974163e+00
9.880046455301910100e+03,3.665449012527088879e+00
9.880046473861637423e+03,3.665490311177146410e+00
9.880046492421362927e+03,3.665531609985048345e+00
9.880046510981090250e+03,3.665572908958887322e+00
9.880046529540815754e+03,3.665614208090567594e+00
9.880046548100543077e+03,3.665655507388182688e+00
9.880046566660268581e+03,3.665696806843636413e+00
9.880046585219994085e+03,3.665738106460972645e+00
