Time (BJD_TBD - 2450000), L_c/L_star (ppm)
1.014865442494469789e+04,3.497498510457491534e+02
1.014865444581947122e+04,3.497593945333013039e+02
1.014865446669424455e+04,3.497689376381070474e+02
1.014865448756901606e+04,3.497784803593070251e+02
1.014865450844378938e+04,3.497880226985362810e+02
1.014865452931856271e+04,3.497975646549351723e+02
1.014865455019333422e+04,3.498071062276445105e+02
1.014865457106810754e+04,3.498166474182988850e+02
1.014865459194288087e+04,3.498261882260392213e+02
1.014865461281765238e+04,3.498357286500058763e+02
1.014865463369242570e+04,3.498452686918337236e+02
1.014865465456719721e+04,3.498548083498321830e+02
1.014865467544197054e+04,3.498643476256356735e+02
1.014865469631674387e+04,3.498738865183851203e+02
1.014865471719151537e+04,3.498834250272212216e+02
1.014865473806628870e+04,3.498929631537784530e+02
1.014865475894106203e+04,3.499025008971976831e+02
1.014865477981583354e+04,3.499120382566196668e+02
1.014865480069060686e+04,3.499215752336787091e+02
1.014865482156538019e+04,3.499311118275159060e+02
1.014865484244015170e+04,3.499406480372719557e+02
1.014865486331492502e+04,3.499501838645812200e+02
1.014865488418969653e+04,3.499597193077536872e+02
1.014865490506446986e+04,3.499692543684231509e+02
1.014865492593924318e+04,3.499787890457307071e+02
1.014865494681401469e+04,3.499883233388178496e+02
1.014865496768878802e+04,3.499978572493178035e+02
1.014865498856356135e+04,3.500073907763721195e+02
1.014865500943833285e+04,3.500169239191221209e+02
1.014865503031310618e+04,3.500264566792009759e+02
1.014865505118787951e+04,3.500359890557504627e+02
1.014865507206265102e+04,3.500455210479116204e+02
1.014865509293742434e+04,3.500550526573179013e+02
1.014865511381219585e+04,3.500645838822800897e+02
1.014865513468696918e+04,3.500741147244312970e+02
1.014865515556174250e+04,3.500836451829133580e+02
1.014865517643651401e+04,3.500931752568673687e+02
1.014865519731128734e+04,3.501027049479267816e+02
1.014865521818606067e+04,3.501122342552326927e+02
1.014865523906083217e+04,3.501217631779271642e+02
1.014865525993560550e+04,3.501312917176427959e+02
1.014865528081037701e+04,3.501408198726910541e+02
1.014865530168515033e+04,3.501503476447045387e+02
1.014865532255992366e+04,3.501598750328248570e+02
1.014865534343469517e+04,3.501694020361942421e+02
1.014865536430946850e+04,3.501789286564448958e+02
