Time (BJD_TBD - 2450000), L_b/L_star (ppm)
9.905203415981486614e+03,7.334632126234970428e+02
9.905203437311165544e+03,7.334858923519810787e+02
9.905203458640844474e+03,7.335085695455163659e+02
9.905203479970523404e+03,7.335312442039236203e+02
9.905203501300204152e+03,7.335539163289580529e+02
9.905203522629883082e+03,7.335765859165743450e+02
9.905203543959562012e+03,7.335992529685279351e+02
9.905203565289240942e+03,7.336219174846397664e+02
9.905203586618919871e+03,7.336445794647323737e+02
9.905203607948600620e+03,7.336672389105592629e+02
9.905203629278279550e+03,7.336898958180775026e+02
9.905203650607958480e+03,7.337125501890412806e+02
9.905203671937637409e+03,7.337352020232723362e+02
9.905203693267316339e+03,7.337578513205925219e+02
9.905203714596997088e+03,7.337804980827548889e+02
9.905203735926676018e+03,7.338031423057182110e+02
9.905203757256354947e+03,7.338257839912363352e+02
9.905203778586033877e+03,7.338484231391307731e+02
9.905203799915712807e+03,7.338710597492234911e+02
9.905203821245391737e+03,7.338936938213362282e+02
9.905203842575072485e+03,7.339163253572207850e+02
9.905203863904751415e+03,7.339389543528396871e+02
9.905203885234430345e+03,7.339615808099442802e+02
9.905203906564109275e+03,7.339842047283566444e+02
9.905203927893788205e+03,7.340068261078992009e+02
9.905203949223468953e+03,7.340294449503224996e+02
9.905203970553147883e+03,7.340520612515904304e+02
9.905203991882826813e+03,7.340746750134545664e+02
9.905204013212505743e+03,7.340972862357367603e+02
9.905204034542184672e+03,7.341198949182593196e+02
9.905204055871863602e+03,7.341425010608439834e+02
9.905204077201544351e+03,7.341651046652407331e+02
9.905204098531223281e+03,7.341877057274164144e+02
9.905204119860902210e+03,7.342103042491205542e+02
9.905204141190581140e+03,7.342329002301759147e+02
9.905204162520260070e+03,7.342554936704044621e+02
9.905204183849940819e+03,7.342780845715547002e+02
9.905204205179619748e+03,7.343006729295959758e+02
9.905204226509298678e+03,7.343232587462772472e+02
9.905204247838977608e+03,7.343458420214207081e+02
9.905204269168656538e+03,7.343684227548486660e+02
9.905204290498335467e+03,7.343910009463836559e+02
9.905204311828016216e+03,7.344135765977731580e+02
9.905204333157695146e+03,7.344361497049886793e+02
9.905204354487374076e+03,7.344587202697779276e+02
9.905204375817053005e+03,7.344812882919641197e+02
9.905204397146731935e+03,7.345038537713688811e+02
9.905204418476412684e+03,7.345264167097390100e+02
9.905204439806091614e+03,7.345489771030485144e+02
9.905204461135770543e+03,7.345715349530446474e+02
9.905204482465449473e+03,7.345940902595494890e+02
9.905204503795128403e+03,7.346166430223854604e+02
9.905204525124809152e+03,7.346391932432983367e+02
9.905204546454488082e+03,7.346617409182646270e+02
9.905204567784167011e+03,7.346842860490297653e+02
9.905204589113845941e+03,7.347068286354167412e+02
9.905204610443524871e+03,7.347293686772478623e+02
9.905204631773203801e+03,7.347519061743458906e+02
9.905204653102884549e+03,7.347744411284554644e+02
9.905204674432563479e+03,7.347969735355552530e+02
9.905204695762242409e+03,7.348195033973901218e+02
9.905204717091921339e+03,7.348420307137827194e+02
9.905204738421600268e+03,7.348645554845559218e+02
9.905204759751281017e+03,7.348870777114527755e+02
9.905204781080959947e+03,7.349095973904551329e+02
9.905204802410638877e+03,7.349321145233064954e+02
9.905204823740317806e+03,7.349546291098293977e+02
9.905204845069996736e+03,7.349771411498470570e+02
9.905204866399675666e+03,7.349996506431820080e+02
9.905204887729356415e+03,7.350221575915767289e+02
9.905204909059035344e+03,7.350446619910152322e+02
9.905204930388714274e+03,7.350671638432396549e+02
9.905204951718393204e+03,7.350896631480736687e+02
9.905204973048072134e+03,7.351121599053394675e+02
9.905204994377752882e+03,7.351346541167788473e+02
9.905205015707431812e+03,7.351571457783778669e+02
9.905205037037110742e+03,7.351796348918782087e+02
9.905205058366789672e+03,7.352021214571026348e+02
9.905205079696468601e+03,7.352246054738743624e+02
9.905205101026147531e+03,7.352470869420164945e+02
9.905205122355828280e+03,7.352695658632692357e+02
9.905205143685507210e+03,7.352920422336211459e+02
9.905205165015186139e+03,7.353145160548133390e+02
9.905205186344865069e+03,7.353369873266680088e+02
9.905205207674543999e+03,7.353594560490092817e+02
9.905205229004224748e+03,7.353819222235756570e+02
