Time (BJD_TBD - 2450000), F_h/L_star (ppm)
9.891607035678278407e+03,1.212606266632758079e+01
9.891607058570614754e+03,1.212595287015019174e+01
9.891607081462949282e+03,1.212584307412247320e+01
9.891607104355285628e+03,1.212573327822697067e+01
9.891607127247620156e+03,1.212562348248114752e+01
9.891607150139956502e+03,1.212551368686756526e+01
9.891607173032291030e+03,1.212540389140366770e+01
9.891607195924627376e+03,1.212529409607202169e+01
9.891607218816963723e+03,1.212518430088134735e+01
9.891607241709298250e+03,1.212507450584038615e+01
9.891607264601634597e+03,1.212496471093168893e+01
9.891607287493969125e+03,1.212485491617271549e+01
9.891607310386305471e+03,1.212474512154602024e+01
9.891607333278639999e+03,1.212463532706906300e+01
9.891607356170976345e+03,1.212452553272439992e+01
9.891607379063310873e+03,1.212441573852948373e+01
9.891607401955647219e+03,1.212430594446686882e+01
9.891607424847983566e+03,1.212419615054529842e+01
9.891607447740318094e+03,1.212408635677348911e+01
9.891607470632654440e+03,1.212397656313400418e+01
9.891607493524988968e+03,1.212386676964430343e+01
9.891607516417325314e+03,1.212375697628693594e+01
9.891607539309659842e+03,1.212364718307936506e+01
9.891607562201996188e+03,1.212353739000415409e+01
9.891607585094330716e+03,1.212342759707873441e+01
9.891607607986667063e+03,1.212331780428568528e+01
9.891607630879003409e+03,1.212320801163372685e+01
9.891607653771337937e+03,1.212309821913159702e+01
9.891607676663674283e+03,1.212298842676184663e+01
9.891607699556008811e+03,1.212287863454193726e+01
9.891607722448345157e+03,1.212276884245442687e+01
9.891607745340679685e+03,1.212265905051676462e+01
9.891607768233016031e+03,1.212254925871150846e+01
9.891607791125350559e+03,1.212243946705611997e+01
9.891607814017686906e+03,1.212232967553315355e+01
9.891607836910021433e+03,1.212221988416006369e+01
9.891607859802357780e+03,1.212211009291940478e+01
9.891607882694694126e+03,1.212200030181991117e+01
9.891607905587028654e+03,1.212189051087031721e+01
9.891607928479365000e+03,1.212178072005318086e+01
9.891607951371699528e+03,1.212167092938595125e+01
9.891607974264035875e+03,1.212156113885118813e+01
9.891607997156370402e+03,1.212145134846634242e+01
9.891608020048706749e+03,1.212134155821398274e+01
9.891608042941041276e+03,1.212123176811155645e+01
9.891608065833377623e+03,1.212112197814161796e+01
9.891608088725713969e+03,1.212101218831290339e+01
9.891608111618048497e+03,1.212090239863414709e+01
9.891608134510384843e+03,1.212079260908791234e+01
9.891608157402719371e+03,1.212068281969163053e+01
9.891608180295055718e+03,1.212057303042788092e+01
9.891608203187390245e+03,1.212046324131410913e+01
9.891608226079726592e+03,1.212035345233287309e+01
9.891608248972061119e+03,1.212024366350163085e+01
9.891608271864397466e+03,1.212013387480293680e+01
9.891608294756731993e+03,1.212002408625425254e+01
9.891608317649068340e+03,1.211991429783813601e+01
9.891608340541404687e+03,1.211980450956330557e+01
9.891608363433739214e+03,1.211969472143850624e+01
9.891608386326075561e+03,1.211958493344629062e+01
9.891608409218410088e+03,1.211947514560410966e+01
